order,class,phylum,gene,n,n_res,f_res
Bradymonadales,Bradymonadia,Myxococcota_A,gyrA,6,0,0
Brevibacillales,Bacilli,Bacillota,gyrA,32,2,0.0625
Brocadiales,Brocadiia,Planctomycetota,gyrA,4,0,0
Bryobacterales,Terriglobia,Acidobacteriota,gyrA,2,0,0
Burkholderiales,Gammaproteobacteria,Pseudomonadota,gyrA,1209,180,0.1488833746898263
CAJXXZ01,Alphaproteobacteria,Pseudomonadota,gyrA,4,2,0.5
CGMCC-115125,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
Caedimonadales,Alphaproteobacteria,Pseudomonadota,gyrA,1,1,1
Caldalkalibacillales,Bacilli,Bacillota,gyrA,5,0,0
Calderihabitantales,KKC1,Bacillota,gyrA,1,1,1
Caldicellulosiruptorales,Thermoanaerobacteria,Bacillota,gyrA,10,10,1
Caldicoprobacterales,Clostridia,Bacillota,gyrA,4,3,0.75
Caldilineales,Anaerolineae,Chloroflexota,gyrA,3,1,0.3333333333333333
Caldisericales,Caldisericia,Caldisericota,gyrA,2,0,0
Calditerricolales,Bacilli,Bacillota,gyrA,2,2,1
Calditrichales,Calditrichia,Calditrichota,gyrA,1,0,0
Campylobacterales,Campylobacteria,Campylobacterota,gyrA,221,18,0.08144796380090498
Carboxydocellales,GCA-003054495,Bacillota,gyrA,1,0,0
Carboxydothermales,Z-2901,Bacillota,gyrA,4,4,1
Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,gyrA,15,2,0.13333333333333333
Caulobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,144,64,0.4444444444444444
Chitinivibrionales,Chitinivibrionia,Fibrobacterota,gyrA,2,0,0
Chitinophagales,Bacteroidia,Bacteroidota,gyrA,177,75,0.423728813559322
Chlamydiales,Chlamydiia,Chlamydiota,gyrA,34,1,0.029411764705882353
Chloracidobacteriales,Blastocatellia,Acidobacteriota,gyrA,3,2,0.6666666666666666
Chlorobiales,Chlorobiia,Bacteroidota,gyrA,14,0,0
Chloroflexales,Chloroflexia,Chloroflexota,gyrA,7,0,0
